,company,job_title,address,employment_type,seniority,category,salary,salary_period,requirements
3183,DEUTSCHE BANK AKTIENGESELLSCHAFT,Global Markets Technology - FX Java Developer - AVP,1 RAFFLES QUAY 048583,"Permanent, Full Time",Professional,Banking and Finance,"$8,000to$12,000",Monthly,"RequirementsExperience / Requirements  The following skills / knowledge are required:  • Very good math and algorithms/complexity • Excellent knowledge of core Java (collections, multi-threading) – 3+ years • Experience in performance optimisation of multi-threaded Java application is a plus • Basic knowledge of SQL • Basic knowledge of Unix • Enterprise applications integration experience – 2+ years • Experience implementing fault-tolerant / load-balancing solutions – 1+ year • Version control systems – 2+ years • Experience working with Spring framework is a plus  Personal characteristics:  • Problem solving, ability to take ownership of a task until its completion, rather then simply coding • Good communication skills • Good team player, open to communicate and collaborate • Eager to learn about new technology and gain new skills as required • Attention to details, discipline Deutsche Bank offers a challenging and rewarding career where your contribution is valued and rewarded. We have an inclusive and friendly working environment coupled with excellent facilities and benefits. Deutsche Bank is an equal opportunity employer who seeks to recruit and appoint the best available person for a job regardless of marital status, sex (including pregnancy), age, religion, belief, race, nationality and ethnic or national origin, colour, sexual orientation or disability. Deutsche Bank does not accept unsolicited curriculum vitae from third party vendors. To apply for this role, please go to https://dbcareers.db.com/psp/PRHCM91/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_CE.GBL?Page=HRS_CE_JOB_DTL&Action=A&SiteId=3001&JobOpeningId=3176920&PostingSeq=1"
3184,LAZADA SOUTH EAST ASIA PTE. LTD.,Regional Business Development Manager - General Merchandise,"AXA TOWER, 8 SHENTON WAY 068811",Permanent,Professional,Sales / Retail ,"$8,000to$12,000",Monthly,"RequirementsIn order to succeed in the role, you should ideally have:  At least 10 years' experience in a B2C commercial role, including extensive experience in sales/ business development with exposure to marketing Experience in General Merchandise and/or Digital Goods is a big plus Experience in eCommerce is a big plus Excellent relationship management skills High proficiency in use of Microsoft Excel and PowerPoint Ability to work on tasks independently without a lot of guidance Strong analytical abilities, data driven, attention to details Experience in project management "
3185,TOTAL FACILITY ENGINEERING PTE. LTD.,Project Engineer (Piping),"MEGA@WOODLANDS, 39 WOODLANDS CLOSE 737856",Contract,"Executive, Senior Executive","Building and Construction, Engineering","$2,800to$4,700",Monthly,"Requirements At least 4 years’ experience in Construction (Engineering) project management for Semi-con, Chemical Plants and Oil & Gas industry. Must have at least a Diploma or Degree in Mechanical Engineering, with safety certifications a plus. Strong working knowledge in P&ID & QA/QC. Highly motivated individuals with good organizational skills and leadership skills. Knowledge of construction policies and procedures, with field experience a must. Proficient in MS Office applications (ie. Microsoft Excel). Experience in using ACAD and BIM a plus but not a must. 2 years contract role, renewable. "
3186,GOOGLE ASIA PACIFIC PTE. LTD.,"Software Engineer, Mobile - Singapore","MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",Full Time,Executive,Information Technology,"$6,700to$13,400",Monthly,"RequirementsMinimum qualifications: - Bachelor's degree in Computer Science, Statistics or Mathematics, or related field, or equivalent practical experience. - Programming experience in Java, Objective-C, C++, or Python - Experience in mobile application development. Preferred qualifications: - Experience in Computer Science, as well as competencies in data structures, algorithms, and software design. - Programming experience in either Java, Objective-C or C++. - Technical knowledge of mobile application development (either Android or iOS). - Knowledge of UI frameworks (either Android, iOS, XML), MVP application design and complex, reactive touch based UI."
3187,PANALPINA ASIA PACIFIC MANAGEMENT PTE. LTD.,Regional System Integration Specialist,"SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986","Permanent, Full Time",Professional,Information Technology,"$3,500to$5,500",Monthly,"Requirements Good understanding of Supply Chain processes Expertise:     Ability to navigate and work with IBM Sterling Integrator EDI Communication Standards     Knowledge of standard programming and developing environment     Insight and knowledge of push and pull practices and web services. Knowledge of service oriented architecture as it relates to the landscape and tools.     UNIX/Window environments:   Knowledge of system commands and scripting Basic knowledge of  communication between servers   Ability to work with generic templates and able to construct customized scripts Communication   Knowledge of standard communication set up such as FTP, SFTP, AS2, VAN, X.400, SMTP Internet/B2B addressing for current mail slots from Sterling/IBM Van, etc.   EDI/B2B platform pre-requisites:   Basic SQL command language and knowledge of relational Database Basic fundamental understanding of BPMI and XPATH Familiar with Web Service Architecture and standard Internet protocols   Implementation of standard industry frameworks or platforms Knowledge of trading community message types, standards (XML, ANSI X12, EDIFACT…) and communication protocols.   Experience with implementing EDI/B2B end to end customer supply chain solutions. Adhere to IT Security Policy and Standards  Broad knowledge in freight forwarding, logistics and supply chain solutions (processes, products & IT PERSONALITY TRAITS:  Demonstrate good written and oral communication skills Ability to work in a diverse environment and cultures Ability to move forward successfully with minimal direction: self-motivated & autonomous Capable of remaining professional & effective in light of sometimes very stressful situations  Technical education in Computer Science or equivalent experience.    Minimum 2 years of experience in enterprise application development (EAI), middleware implementations. Competent with industry-standard middleware technologies. Direct experience with IBM technology suite:  MQ, IIB (IBM integration bus) or WebSphere Message Broker Expertise and development experience in, Java EE, JMS, ESQL Competence in Web Services standards and technologies (e.g. XML, SOAP, WSDL, XSD, UDDI, REST, etc.)  Advantageous:  XML transformation technologies like XQuery, XSLT etc. Experience with Data Power XML Gateway’s such as XG45, XI50, XB62 IIB and BPM Best Practices and Performance Tuning  DB2 "
3188,STAMFORD AMERICAN INTERNATIONAL SCHOOL PTE. LTD.,Reading Specialist,1 WOODLEIGH LANE 357684,"Contract, Full Time",Manager,Education and Training,"$4,900to$9,900",Monthly,"RequirementsPosition Requirements  Excellent interpersonal and written communication skills Ability to foster trusting, collaborative relationships among individuals and teams High level of organization and attention to detail Previous experience with the MYP Programme   Knowledge and experience with data collection, analysis and evidence-driven instructional planning Knowledge of the NWEA MAP Assessment and Fountas & Pinnell Benchmark reading assessment Previous curriculum development/instructional coaching experience. Demonstrates the Stamford Values – Courage, Ingenuity, Compassion, Integrity  Qualifications  Minimum of Bachelor’s degree in literacy-based education field; Master’s degree in curriculum & instruction or reading preferred MYP experience Education Leadership experience "
3189,RCS ENGINEERING PTE LTD,Part Time Accounts cum Admin,"TRADEHUB 21, 18 BOON LAY WAY 609966","Part Time, Flexi work",Junior Executive,Accounting / Auditing / Taxation,0,,RequirementsMinimum 3 years of accounting experience. Able to handle full set of account. Able to commit on part-time basis (1-2 days a week). Able to start work immediately or within short notice. Salary: $20 per hour
3190,MANGOSTEEN BCC PTE. LTD.,Business Analyst,"EON SHENTON, 70 SHENTON WAY 079118",Full Time,Executive,"Banking and Finance, Information Technology","$5,000to$8,000",Monthly,Requirements Excellent interpersonal and communication skills – written and verbal  Experience working directly with customers   Experience working in a startup environment Experience with agile software delivery Experience with software-as-a-service and API-based business models   Understanding of microservice architecture Banking Experience in Wealth Management/ Group Technology and Operations preferred  Javascript or Python experience preferred 
3191,WSH EXPERTS PTE. LTD.,ICT Executive | MOE School,0,Full Time,Non-executive,"Admin / Secretarial, Education and Training, Information Technology, Others","$1,800to$2,800",Monthly,"Requirements Graduate degree or equivalent with relevant IT related fields. Proficient in MS Office, Windows and iOS applications Preferably good knowledge of the ICT systems/challenges faced in MOE Schools. Good team leader with a high level of initiative and independence. Have experiences and able to work in a fast paced environment. Have experiences handling and managing wireless network system. "
3192,WOODPECKER ASIA TECH PTE. LTD.,Head of Risk - Risk Management Director,0,Permanent,Senior Management,Risk Management,"$10,000to$15,000",Monthly,"RequirementsGot skills?  This fast growing, dynamic start-up needs a hands on Risk Management Director with most of (preferably all!) skills and qualifications:   You have a minimum Bachelor’s degree in business, finance or risk management ; A master’s degree or MBA would be highly preferred.  You bring in at least 10 years of relevant work experience in risk management, specifically in the lending space  You have a track record in generating score cards with great gini coefficient  You have experience with non-traditional credit risk scoring models that work in cash economies  You have a keen interest in broader risk management and risk control arrangements  You are able to work with alternative data in the broadest sense  You have strong proficiency in dealing with borrowers situated in cash economies  You have a strong ability to exercise oversight over governance, risk, compliance and control arrangements in a complex financial operation  You bring in the ability to work as a member of a fast-paced, transaction-oriented team with the capability to deal more multiple deals simultaneously  You possess strong communication skills and the ability to work in a multicultural environment    Does this sound like you?   You have the ability to drive and implement insights in a challenging environment  You are highly analytical & commercially focused  You are a collaborator, able to partner with C-level & Country Directors  You are able to build and manage a team     What we offer  Look forward to a pleasant, vibrant work environment in one of the fastest growing online brands in Asia. You will be learning from a multi-cultural team of passionate professionals who are eager to disrupt the FinTech space. Our work makes us innovative, agile, brave and result-driven but we also just love what we do. Openness and transparency form the core value of our company culture. We value freedom and high performance. We like it when you show curiosity for new ideas that create a difference and discover practical solutions to tough problems. "
3193,PANALPINA WORLD TRANSPORT (SINGAPORE) PTE. LTD.,Country Air Freight Pricing / Trade Lane Manager Singapore & Malaysia,16 CHANGI NORTH WAY 498772,Permanent,"Manager, Professional",Logistics / Supply Chain,"$6,500to$8,700",Monthly,Requirements Minimum 10 years of relevant experience Bachelor's Degree/Professional Degree in Business Studies/Administration/Management or equivalent Profound knowledge of the Air Freight industry Operational know-how (Customer- & Operational Service functions) Local laws and regulations Business Administration Finance Process engineering and improvement methodologies 
3194,WIRECARD ASIA HOLDING PTE. LTD.,Senior QA Engineer,"MAPLETREE BUSINESS CITY, 80 PASIR PANJANG ROAD 117372",Permanent,Manager,Information Technology,"$7,500to$9,000",Monthly,"Requirements Extensive knowledge of the Payment Card Industry – Minimum of 5 years in a similar role. Hands on experience in testing Web Based application with good understanding of Software Testing Life Cycle and Methodology.  Hands on experience with common payment industry oriented tools e.g. VTS, FinSim, MCPS, MAS and so on. Solid analytical skill and ability to comprehend complex Business Requirements/Technical Solutions and map them into Test Scenarios/Test Cases. Working knowledge of Database Fundamentals, Internet Technology, Web Services, API, and SOAP UI. Working knowledge of Software Testing and Defect Tracking tools such as Quality Centre/JIRA Excellent verbal, written, presentation and interpersonal skills. Demonstrated thoroughness, attention to detail, and strong ownership of work. Self-motivated with the ability to prioritize, meet deadlines, and manage changing priorities. Note that some after-hours or off-peak hours might be required Excellent verbal, written, presentation and interpersonal skills; with ability to work in a global team, readiness to participate and help others, and willingness to accommodate team members in different time zones. Enthusiasm for learning, ability to quickly learn and apply new technical skills, eagerness to innovate and share ideas. "
3195,MONEYSMART SINGAPORE PTE. LTD.,Performance Marketing Lead,"GRANDE BUILDING, 8 COMMONWEALTH LANE 149555",Full Time,Manager,Marketing / Public Relations ,"$4,000to$6,000",Monthly,"RequirementsRequirements  Minimum 3 years of direct, relevant experience in performance marketing and campaign management (strong preference for experience within a leading eCommerce and tech company) Deep knowledge of digital media planning, media buying and Ad Tech solutions Proven track record in delivering successful digital marketing campaigns deploying a varied set of strategic targeting tactics tied to campaign goals Demonstrate a good understanding of audience segmentation for each product and identify existing, as well as new and innovative ways to reach and connect with them Strong communication skills, attention to detail and analytical mindset essential  Cultural Competencies  Build a positive team and family spirit Engage, disagree and commit Be humble Do more with less Always pursue learning and growth Stay hungry and take ownership "
3196,MONEYSMART SINGAPORE PTE. LTD.,Product Lead,"GRANDE BUILDING, 8 COMMONWEALTH LANE 149555",Full Time,Manager,Marketing / Public Relations ,"$10,000to$13,000",Monthly,"RequirementsCompetencies  Expert on modern forms of product planning, customer discovery, product discovery, product development process and execution Strong analytical, business, project management, and organizational skills Exceptional influencing skills Self-motivated, positive-thinking, team player, leader, problem-solver Entrepreneurial and commercially minded, highly creative, and able to innovate quickly Passion for data, testing, and building a world-class customer experience Excellent verbal and written communication skills and the willingness to present and defend your ideas to other key stakeholders, including partners and customers Passion for developing and nurturing people  Requirements  BA/BS degree, MBA preferred 8+ years product management experience 3+ years people leadership experience Deep knowledge of web standards in design and usability Understanding of SEA online/ mobile financial product comparison market and competitive landscape Expert in scrum and agile processes Expert in product development tools (i.e PivotalTracker, ProductPlan, Confluence) preferred  Cultural Competencies  Build a positive team and family spirit Engage, disagree and commit Be humble Do more with less Always pursue learning and growth Stay hungry and take ownership "
3197,GLOBALTIX PTE. LTD.,REGIONAL DIGITAL MARKETING EXECUTIVE  /  MANAGER,409 RACE COURSE ROAD 218657,"Permanent, Full Time",Executive,Travel / Tourism,"$2,500to$3,500",Monthly,"RequirementsREQUIREMENTS    Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in sales & marketing or related fields. Minimum 1-2 years of experience in digital marketing and design; prior experience in tourism industry preferred. Proven working experience in digital marketing Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate Experience in optimizing landing pages and user funnels Solid knowledge of website analytics tools (e.g., Google Analytics) Working knowledge of ad serving tools (e.g., DART, Atlas) Experience in setting up and optimizing Google Adwords campaigns Working knowledge of HTML, CSS, and JavaScript development and constraints Strong analytical skills and data-driven thinking Up-to-date with the latest trends and best practices in online marketing and measurement "
3198,AAYTOZEE @ HILLVIEW PTE. LTD.,Speech Therapist,"POPULAR ESTATE, 2 JALAN DERMAWAN 668947",Full Time,Professional,Education and Training,"$4,500to$6,000",Monthly,Requirements·         Recognised Diploma / Bachelor Degree in OT / ST / Psy ·         Registered or eligible for registration with the Allied Health Professional Council in Singapore as Full or                   Conditional Registrant. (This is only applicable to OT & ST) ·         Fresh graduates are welcome to apply
3199,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,Account Executive,"WCEGA TOWER, 21 BUKIT BATOK CRESCENT 658065",Full Time,Executive,Real Estate / Property Management,"$2,300to$2,500",Monthly,"Requirements LCCI/Diploma in Accountancy or equivalent 3-4 years accounting experience Proficient in MS Excel and Words Able to multi-task, meticulous and independent "
3200,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,Admin Assistant,0,Permanent,Non-executive,Real Estate / Property Management,"$1,600to$1,800",Monthly,"Requirements Diploma in any disciplines from recognize tertiary institutions 1 to 2 years admin support experience in property development industry Good Customer Service Skills Proficient in MS Excel and Words Able to multi-task, meticulous and independent Able to start work on short notice "
3201,COVANCE (ASIA) PTE. LTD.,(Senior) Medical Technologist - Histology,"THE SYNERGY, 1 INTERNATIONAL BUSINESS PARK 609917","Permanent, Full Time",Executive,Healthcare / Pharmaceutical,"$4,000to$6,500",Monthly,RequirementsWhat we are looking for:  Bachelor’s degree in biological sciences/biomedical sciences/medical Technology preferred from an accredited college or university. At least 3 year previous laboratory experience performing clinical laboratory testing or experience in performing clinical laboratory testing judged as equivalent. Candidate with more experience will be considered for a more senior role accordingly. 
3202,LOVEBONITO SINGAPORE PTE. LTD.,Product Manager,21 TAI SENG DRIVE 535223,Full Time,Senior Executive,"Information Technology, General Management, Sales / Retail ","$4,000to$6,000",Monthly,"RequirementsYou should be   A Love, Bonito Culture Fit   Good grasp of the Love, Bonito brand and unique proposition   A knack for problem solving with an ability to think ‘out of the box’   Strong entrepreneurial spirit, self starter, get-your-hands dirty attitude   A genuine curiosity to know how things work and how to make them better     A strong leader and communicator   Strong project management skills and ability to manage and influence functional peers   Exceptional relationship management skills; able to build strong relationships and trust with internal and external stakeholders   Exceptional communication skills; able to communicate technological jargon to broader functional teams & investors     A data-driven operational thinker   A strategic, performance-driven and objective mindset   Impeccable judgment and keen attention to detail when rolling out new features   Passion for using data / research to demonstrate and propose feature improvements     Qualification and Experience   2 - 3 years of working experience in a fast-paced startup environment   Bachelor’s Degree in Engineering, Computer Science, Business or other relevant fields   Past full-time or internship experience in consulting, tech, operations or product management will be a plus!  "
3203,REVINATE SINGAPORE PTE. LTD.,Sales Development Rep,"CUPPAGE TERRACE, 29A CUPPAGE ROAD 229456",Full Time,"Fresh/entry level, Junior Executive","Advertising / Media , Hospitality, Information Technology, Sales / Retail ","$48,000to$65,000",Annually,"RequirementsRequired Experience and Knowledge  Intermediate to advanced skills in Excel. Excellent written and verbal communication skills University degree or equivalent experience Strong client service ethos Experience in sales or the hospitality industry is a plus Excellent communication skills both verbal & written, facilitation & presentation techniques. Willingness to work flexible hours within the region and globally in line with the needs of an international company Fluency in English plus 1-2 other regional langauges Salesforce.com or any other CRM experience a plus "
3204,SEMBCORP MARINE LTD,Drafting Specialist (E&I),29 TANJONG KLING ROAD 628054,"Permanent, Contract",Junior Executive,Engineering,"$1,700to$2,300",Monthly,"Requirements ITE / GCE “O” Level or equivalent qualification 1 year of drafting experience in Marine/ Offshore industry Good proficiency in English (written and spoken) Proficient in Microsoft Office products, AutoCAD or similar CAD application software (i.e.Aveva, CadMatic, Smart Marine and etc.) Must be able to perform 3D design, review 3D design blueprints and prepare the 3D design for presentation Ability to communicate with engineers and clients Familiar with terms and standards used in the marine and/or offshore industry    Our Address Sembcorp Marine Ltd Tanjong Kling Yard 29 Tanjong Kling Road Singapore 628054   Tuas Boulevard Yard 80 Tuas South Boulevard Singapore 637051   Mon-Thu : 7.30am – 5.15pm Fri : 7.30am – 4.15pm   Interested candidates with relevant background are invited to send us an updated resume with your current and expected salary, reason of application and earliest availability here. We regret that only shortlisted candidates will be notified. Please note that your personal data disclosed to Sembcorp Marine Ltd and our group of companies, shall be used for the purposes of evaluation, and processing in accordance with our recruitment processes and policies. By providing your personal data, you have consented to the aforesaid purpose under the provisions of the Personal Data Protection Act 2012."
3205,SEMBCORP MARINE LTD,ENGINEER (ELECTRICAL & INSTRUMENTATION),29 TANJONG KLING ROAD 628054,Permanent,"Fresh/entry level, Junior Executive",Engineering,"$2,400to$3,500",Monthly,"RequirementsRequirements:  Bachelor’s degree in Electrical and Electronics Engineering/ or related engineering disciplines 3 years of working experience in the area of instrument design and engineering in the oil and gas industry Experience in electrical power generation and distribution systems for topsides and marine vessels Entry Level candidates are welcome to apply (On Job Training will be provided)    Our Address: Sembcorp Marine Ltd Tanjong Kling Yard 29 Tanjong Kling Road Singapore 628054  Tuas Boulevard Yard 80 Tuas South Boulevard Singapore 637051  Mon-Thu : 7.30am – 5.15pm Fri : 7.30am – 4.15pm    Interested candidates with relevant background are invited to send us an updated resume with your current and expected salary, reason of application and earliest availability via APPLY NOW button. Please ensure that the Position Title or Reference Code (if available) is clearly stated in your Subject Line.  We regret that only shortlisted candidates will be notified.  Please note that your personal data disclosed to Sembcorp Marine Ltd and our group of companies, shall be used for the purposes of evaluation, and processing in accordance with our recruitment processes and policies. By providing your personal data, you have consented to the aforesaid purpose under the provisions of the Personal Data Protection Act 2012."
3206,STAR HOLIDAY MART PTE LTD,Travel Consultant,0,Full Time,"Executive, Senior Executive",Travel / Tourism,"$2,000to$2,500",Monthly,"Requirements Exemplary sales skills and customer oriented approach Ability to present, persuade and communicate effectively Well versed in various areas of travel (domestic/international, business/holidays, group/individual etc) Proven working experience as a travel consultant "
3207,PAIN CLINIC@ WELLNESS PHILOSOPHY PTE. LTD.,Marketing Assistant,"SHAW CENTRE, 1 SCOTTS ROAD 228208","Part Time, Full Time",Non-executive,Medical / Therapy Services,"$2,300to$2,800",Monthly,Requirements Candidate must possess relevant qualification or certification in similar industry /trade Good communication sills ( written /spoken ) Dynamic and Team player              Check our website: www.wellnessphilosophy.sg  
3208,ICON RESOURCES AND TECHNOLOGIES PTE LTD,Executive /  Sr.Executive - Inside Sales,"TANNERY HOUSE, 37 TANNERY LANE 347790",Full Time,Executive,"Information Technology, Sales / Retail ","$2,000to$3,000",Monthly,"Requirements Excellent interpersonal and customer relationship building skills required. Excellent written, oral and listening skills required; Strong business acumen. Must be able to persuade potential customers with strong negotiating skills, particularly with regards to Enterprise customers. Must be comfortable speaking with high level decision makers. Excellent time management, multi-tasking and organizational skills required. QUALIFICATIONS AND REQUIREMENTS  1-5 years of experience in Inside Sales; preferably with technical or software companies and with focus on Enterprise customers "
3209,MITSUBISHI CHEMICAL INFONICS PTE LTD,PRODUCTION ENGINEER,103 PIONEER ROAD 639582,Full Time,"Fresh/entry level, Junior Executive",Manufacturing,"$2,800to$3,300",Monthly,"Requirements Degree in Mechanical, Mechatronics or Electrical & Electronics Engineering. Knowledge in factory automation and failure analysis will be an added advantage. Demonstrates discipline in timely execution of task. Demonstrates flexibility/adaptability to frequent changes. "
3210,Company Undisclosed,Digital Imaging Specialist,0,"Part Time, Full Time, Flexi work","Fresh/entry level, Non-executive",Information Technology,"$1,300to$2,000",Monthly,Requirements1. Basic knowledge photoshop will be preferred
3211,Company Undisclosed,Solution Delivery Specialist,0,"Permanent, Full Time",Manager,Information Technology,0,,"RequirementsKEY REQUIREMENTS:  Bachelor or Higher Degree in Computer Science / Information Systems / Business / Engineering Minimum 5 years of experience of delivering mature/production ready analytics and data science products and apps in a related industry Strong experience with data management principles including but not limited to data acquisition, master data, data modelling, data security and governance Proficiency with data analytics, data science and Cloud platform technologies Demonstrable ability to navigate complex organisation, process and technical challenges Demonstrable ability to manage budget effectively Excellent written and oral communication skills, well versed in using common project management and office productivity software Ability to work effectively with a diverse range of stakeholders from both technical and business backgrounds "
3212,Company Undisclosed,Maritime System Engineer,0,Full Time,Professional,Others,0,,"Requirements Sailed onboard Merchant Vessels as Engineer, E.T.O (Electro-Tech Officer) or Electrical Engineer for 2 years.  Experience on BASSnet Planned Maintenance System Application will have added advantage.    "
3213,Company Undisclosed,Web Application Developer (Ref 22810),0,"Contract, Full Time",Executive,Information Technology,"$6,000to$12,000",Monthly,"Requirements- Bachelor’s Degree or above in Computer Science or equivalent preferred. - Minimum 5 years of professional software development experience. - Minimum 3 years of experience in designing and developing Web API or Web applications. - Proficient in one major backend programming language: Java, Node.js or Microsoft .Net/C#. - Minimum 2 years’ experience in front-end development with html5/css3/JavaScript.  - Excellent understanding of product development in the mobility space - Experience of designing architecture and framework for kinds of Web API and mobile apps/websites. - Deep understanding about mobile app architecture.  Demonstrated ability in meeting timelines. - Experience in Agile or Lean software development. - Practical knowledge of Object Oriented Design and Development (OOD), software Design Patterns, and Unified Modelling Language (UML).  Good competency in developing effective solutions to diverse and complex business problems - Experience in vue.js or RWD (Responsive Web Design) is a big plus. - Familiar with relational databases, SQL language and O/R mapping. - PaaS (Azure or AWS) based development experience is a big plus. - Knowledge about hybrid mobile app development like Cordova is a plus. - Ability to work effectively across different stakeholder groups ranging from business analysts to product managers and developers to discuss product development options, considerations and implications. - Systematic, meticulous approach in managing tasks without being lost in the details and focused on overall objectives and timelines.   Licence No: 12C6060"
3214,Company Undisclosed,Web Application Developer (Ref 22810),0,"Contract, Full Time",Executive,Information Technology,"$3,000to$6,000",Monthly,"Requirements- Bachelor’s Degree or above in Computer Science or equivalent preferred. - Minimum 5 years of professional software development experience. - Minimum 3 years of experience in designing and developing Web API or Web applications. - Proficient in one major backend programming language: Java, Node.js or Microsoft .Net/C#. - Minimum 2 years’ experience in front-end development with html5/css3/JavaScript.  - Excellent understanding of product development in the mobility space - Experience of designing architecture and framework for kinds of Web API and mobile apps/websites. - Deep understanding about mobile app architecture.  Demonstrated ability in meeting timelines. - Experience in Agile or Lean software development. - Practical knowledge of Object Oriented Design and Development (OOD), software Design Patterns, and Unified Modelling Language (UML).  Good competency in developing effective solutions to diverse and complex business problems - Experience in vue.js or RWD (Responsive Web Design) is a big plus. - Familiar with relational databases, SQL language and O/R mapping. - PaaS (Azure or AWS) based development experience is a big plus. - Knowledge about hybrid mobile app development like Cordova is a plus. - Ability to work effectively across different stakeholder groups ranging from business analysts to product managers and developers to discuss product development options, considerations and implications. - Systematic, meticulous approach in managing tasks without being lost in the details and focused on overall objectives and timelines.   Licence No: 12C6060"
3215,Company Undisclosed,NVEG SENIOR ENGINEER,0,Full Time,Non-executive,"Engineering, Manufacturing","$4,000to$8,000",Monthly,"RequirementsMinimum Qualifications:  Master's Degree in Electrical Engineering with 3 years of NAND work experience OR Bachelor's Degree in Electrical Engineering with 5 years of NAND work experience Excellent understanding of NAND Flash Device Physics, NAND Design is required Good understanding of NAND-System Integration is required Knowledge of NAND Process Engineering is preferred Experience using schematic tools, Verilog simulation, micro probing is preferred Knowledge of Programming Languages such as Python/C/C++ is required Effective communication skills in written and spoken English Good multitasking skills and ability to set priorities in a fast moving, dynamic environment Excellent problem solving and analytical skills Self-motivation and enthusiasm "
3216,Company Undisclosed,NVEG SENIOR MANAGER,0,Full Time,Senior Management,"Engineering, Manufacturing","$8,000to$16,000",Monthly,"RequirementsMinimum Qualifications:  Master's Degree in Electrical Engineering with 8 years of NAND work experience OR Bachelor's Degree in Electrical Engineering with 10 years of NAND work experience Excellent understanding of NAND Flash Device Physics, NAND Design is required Good understanding of NAND-System Integration is required Knowledge of NAND Process Engineering is preferred Experience using schematic tools, Verilog simulation, micro probing is preferred Knowledge of Programming Languages such as Python/C/C++ is required Effective communication skills in written and spoken English Good multitasking skills and ability to set priorities in a fast moving, dynamic environment Excellent problem solving and analytical skills Self-motivation and enthusiasm "
3217,Company Undisclosed,"SR MANAGER, GLOBAL HEALTH & SAFETY",0,Full Time,Senior Management,"Engineering, Manufacturing","$8,000to$16,000",Monthly,"RequirementsQualifications:  Extensive experience with hazard assessment, data analysis root cause investigation Strong technical expertise in the areas of occupational health and safety, in multi-national corporations Demonstrated ability to comfortably work across organizational boundaries and geographies Ability to effectively collaborate with cross-functional organizations to understand needs and translate them into actionable plans, deliverables, and resource requirements Ability to be guided by business objectives and determine best methods for delivering results Demonstrated proficiency in independently completing complex tasks Excellent interpersonal and customer service skills Excellent oral and written communication skills Ability to adapt to a rapidly changing environment Strong analytical and problem-solving skills Proven facilitation skills including the ability to influence others Fluent computer skills including Microsoft Word, PowerPoint and Excel    Education Required:  Minimum of a B.S. degree in Occupational Health Safety, Industrial Hygiene, or another relevant field desired.    Experience Required:  Minimum of 15 years of relevant experience including demonstrated experience with safety management Proven ability to manage people Professional certification is highly desired Semiconductor experience is preferred The ability to read and develop a solid understanding and interpretation of regulations is required Ability to develop site and global programs and deploy to a multi-cultural audience Strong interpersonal communication Effective negotiation skills Proficiency in technical writing Strong team player skills    Travel  Domestic and international travel may be required 8–10 times per year, averaging 1-2 weeks per trip "
3218,Company Undisclosed,"Senior Officer, Balance Sheet Risk Management (Reporting)",0,Full Time,Executive,Banking and Finance,"$3,000to$4,000",Monthly,"Requirements Degree holder majoring in Business, Finance or equivalent professional certifications with relevant experience in a financial institution, holder of FRM/PRM will have an advantage Degree holder majoring in computer science or equivalent professional certifications with relevant experience in programming, applicant familiar with SAS language will have an advantage Team player, self-motivated and resourceful Numerically inclined with a strong analytical mind Highly proficient in the use of Microsoft Excel and Access "
3219,Company Undisclosed,Demand Planning Executive,0,Full Time,Junior Executive,Logistics / Supply Chain,"$2,500to$4,500",Monthly,"Requirements       Candidates with experiences in demand planning will be an advantage          Good communication and interpersonal skill      Proficiency in Microsoft Office such as Word, Excel and etc.        Punctuality is a MUST         Bilingual   "
3220,Company Undisclosed,"Manager, Regulatory Reporting and Control",0,Temporary,Manager,Banking and Finance,0,,"RequirementsKnowledge & Experience:   Degree in Accounting/Finance/Commerce or professional qualification, with at least 5 years of working experience in a similar capacity Prior experience in various functions of a Bank’s Financial Control Department is a must. MAS Reporting Experience both in a BAU and Project environment required Project UAT experience is preferred    Skills:   An independent self-starter who is able to thrive in a fast pace and changing environment Committed team player with strong interpersonal and communication skills Strong analytical skills with an eye for details Ability to multi-task, prioritize and manage daily workflow Ability to work independently & is self-motivated Leadership skills "
3221,Company Undisclosed,Senior Systems Architect (Ref 22813),0,"Permanent, Full Time",Senior Executive,Information Technology,"$5,000to$10,000",Monthly,"Requirements- Minimum a university degree in Computer Engineering, Computer Science or related discipline. - At least 10 years of experience in designing and implementing complex multi-technology solutions including software and hardware - Experience with design patterns for designing platform independent (IOS, Android, Java, Microsoft) applications and application integration - Experience with system level performance modeling, profiling, and analysis. - Experience designing highly available and scalable software systems to support concurrent use by hundreds of users. Application development experience not required. - Experience defining integrated and multiple tiers of hardware server, storage solution and networking in virtualized environment. Including load balancer and firewall strategy for the system deployed within customer IT environment. - Analytical, critical thinking and project management skills with ability to contribute independently - Excellent communication and interpersonal skills - Knowledge of service oriented architecture and multitier architecture - Enterprise Architecture certification (e.g. COBIT, TOGAF,etc) a plus   Licence No: 12C6060"
